Date,riskfree
12/29/2023,5.33
12/28/2023,5.31
12/27/2023,5.28
12/26/2023,5.27
12/22/2023,5.27
12/21/2023,5.27
12/20/2023,5.24
12/19/2023,5.24
12/18/2023,5.25
12/15/2023,5.27
12/14/2023,5.28
12/13/2023,5.26
12/12/2023,5.27
12/11/2023,5.28
12/08/2023,5.28
12/07/2023,5.26
12/06/2023,5.27
12/05/2023,5.28
12/04/2023,5.29
12/01/2023,5.29
11/30/2023,5.29
11/29/2023,5.29
11/28/2023,5.3
11/27/2023,5.3
11/24/2023,5.31
11/22/2023,5.31
11/21/2023,5.28
11/20/2023,5.29
11/17/2023,5.29
11/16/2023,5.29
11/15/2023,5.28
11/14/2023,5.28
11/13/2023,5.29
11/10/2023,5.29
11/09/2023,5.29
11/08/2023,5.28
11/07/2023,5.29
11/06/2023,5.29
11/03/2023,5.29
11/02/2023,5.29
11/01/2023,5.29
10/31/2023,5.29
10/30/2023,5.29
10/27/2023,5.3
10/26/2023,5.3
10/25/2023,5.29
10/24/2023,5.3
10/23/2023,5.31
10/20/2023,5.29
10/19/2023,5.31
10/18/2023,5.3
10/17/2023,5.31
10/16/2023,5.31
10/13/2023,5.33
10/12/2023,5.34
10/11/2023,5.31
10/10/2023,5.33
10/06/2023,5.32
10/05/2023,5.3
10/04/2023,5.29
10/03/2023,5.28
10/02/2023,5.29
09/29/2023,5.29
09/28/2023,5.29
09/27/2023,5.3
09/26/2023,5.3
09/25/2023,5.3
09/22/2023,5.29
09/21/2023,5.29
09/20/2023,5.29
09/19/2023,5.29
09/18/2023,5.29
09/15/2023,5.28
09/14/2023,5.28
09/13/2023,5.28
09/12/2023,5.28
09/11/2023,5.28
09/08/2023,5.28
09/07/2023,5.28
09/06/2023,5.28
09/05/2023,5.27
09/01/2023,5.28
08/31/2023,5.28
08/30/2023,5.29
08/29/2023,5.27
08/28/2023,5.29
08/25/2023,5.29
08/24/2023,5.28
08/23/2023,5.28
08/22/2023,5.27
08/21/2023,5.28
08/18/2023,5.27
08/17/2023,5.28
08/16/2023,5.26
08/15/2023,5.27
08/14/2023,5.28
08/11/2023,5.28
08/10/2023,5.28
08/09/2023,5.25
08/08/2023,5.28
08/07/2023,5.27
08/04/2023,5.27
08/03/2023,5.28
08/02/2023,5.27
08/01/2023,5.28
07/31/2023,5.27
07/28/2023,5.26
07/27/2023,5.27
07/26/2023,5.27
07/25/2023,5.28
07/24/2023,5.26
07/21/2023,5.26
07/20/2023,5.27
07/19/2023,5.17
07/18/2023,5.18
07/17/2023,5.19
07/14/2023,5.2
07/13/2023,5.21
07/12/2023,5.16
07/11/2023,5.16
07/10/2023,5.16
07/07/2023,5.16
07/06/2023,5.15
07/05/2023,5.1
07/03/2023,5.1
06/30/2023,5.08
06/29/2023,5.09
06/28/2023,5
06/27/2023,5
06/26/2023,5.01
06/23/2023,5.01
06/22/2023,5.02
06/21/2023,5
06/20/2023,5.01
06/16/2023,5.02
06/15/2023,5.02
06/14/2023,5.01
06/13/2023,5.03
06/12/2023,5.08
06/09/2023,5.09
06/08/2023,5.09
06/07/2023,4.91
06/06/2023,4.99
06/05/2023,5.09
06/02/2023,5.12
06/01/2023,5.14
05/31/2023,5.08
05/30/2023,5.12
05/26/2023,5.78
05/25/2023,5.71
05/24/2023,5.62
05/23/2023,5.51
05/22/2023,5.5
05/19/2023,5.41
05/18/2023,5.38
05/17/2023,5.39
05/16/2023,5.45
05/15/2023,5.49
05/12/2023,5.57
05/11/2023,5.59
05/10/2023,5.39
05/09/2023,5.4
05/08/2023,5.33
05/05/2023,5.38
05/04/2023,5.54
05/03/2023,4.44
05/02/2023,4.33
05/01/2023,4.32
04/28/2023,4.23
04/27/2023,4.16
04/26/2023,3.63
04/25/2023,3.92
04/24/2023,3.4
04/21/2023,3.29
04/20/2023,3.32
04/19/2023,3.68
04/18/2023,3.69
04/17/2023,3.95
04/14/2023,4.18
04/13/2023,3.98
04/12/2023,4.04
04/11/2023,4.09
04/10/2023,4.39
04/07/2023,4.43
04/06/2023,4.44
04/05/2023,4.48
04/04/2023,4.52
04/03/2023,4.56
03/31/2023,4.6
03/30/2023,4.6
03/29/2023,4.2
03/28/2023,4.1
03/27/2023,4.07
03/24/2023,4.15
03/23/2023,4.13
03/22/2023,3.98
03/21/2023,3.91
03/20/2023,4.19
03/17/2023,4.18
03/16/2023,3.93
03/15/2023,4.06
03/14/2023,4.27
03/13/2023,4.45
03/10/2023,4.64
03/09/2023,4.66
03/08/2023,4.59
03/07/2023,4.63
03/06/2023,4.59
03/03/2023,4.59
03/02/2023,4.59
03/01/2023,4.52
02/28/2023,4.52
02/27/2023,4.54
02/24/2023,4.55
02/23/2023,4.53
02/22/2023,4.49
02/21/2023,4.5
02/17/2023,4.51
02/16/2023,4.53
02/15/2023,4.51
02/14/2023,4.5
02/13/2023,4.53
02/10/2023,4.53
02/09/2023,4.53
02/08/2023,4.51
02/07/2023,4.49
02/06/2023,4.49
02/03/2023,4.48
02/02/2023,4.49
02/01/2023,4.46
01/31/2023,4.45
01/30/2023,4.47
01/27/2023,4.48
01/26/2023,4.49
01/25/2023,4.47
01/24/2023,4.49
01/23/2023,4.49
01/20/2023,4.48
01/19/2023,4.49
01/18/2023,4.39
01/17/2023,4.4
01/13/2023,4.38
01/12/2023,4.37
01/11/2023,4.2
01/10/2023,4.2
01/09/2023,4.17
01/06/2023,4.14
01/05/2023,4.12
01/04/2023,4
01/03/2023,3.96
